"","simnum","dHat","nHat","pHat","pHatZeroNeg","pHatDropNeg","aHat","square","TrapSpacing","FielSize","CatchRadius","NumVisits","density"
"89",8,1.38888888888889,88.8888888888889,0.683772233983162,0.683772233983162,0.683772233983162,64,"4",1,10,0.5,4,1
"90",8,1.59605911330049,44.6896551724138,0.559041448155902,0.559041448155902,0.559041448155902,28,"5",1,10,0.5,4,1
"91",9,0.5,2,1,1,1,4,"1",1,10,0.5,4,1
"92",9,0.75,12,1,1,1,16,"2",1,10,0.5,4,1
"93",9,1.05555555555556,38,1,1,1,36,"3",1,10,0.5,4,1
"94",9,1.36501024590164,87.3606557377049,0.594557572960308,0.594557572960308,0.594557572960308,64,"4",1,10,0.5,4,1
"95",9,1.90217391304348,53.2608695652174,0.41445995623088,0.41445995623088,0.41445995623088,28,"5",1,10,0.5,4,1
"96",10,1.5,6,1,1,1,4,"1",1,10,0.5,4,1
"97",10,1.375,22,1,1,1,16,"2",1,10,0.5,4,1
"98",10,1.08408408408408,39.027027027027,0.837778578869237,0.837778578869237,0.837778578869237,36,"3",1,10,0.5,4,1
"99",10,1.35813492063492,86.9206349206349,0.61445019952197,0.61445019952197,0.61445019952197,64,"4",1,10,0.5,4,1
"100",10,1.78021978021978,49.8461538461538,0.47295372330527,0.47295372330527,0.47295372330527,28,"5",1,10,0.5,4,1
"101",1,1.75,7,1,1,1,4,"1",1,10,0.5,4,1.5
"102",1,2.13333333333333,34.1333333333333,0.75,0.75,0.75,16,"2",1,10,0.5,4,1.5
"103",1,1.85185185185185,66.6666666666667,0.683772233983162,0.683772233983162,0.683772233983162,36,"3",1,10,0.5,4,1.5
"104",1,2.16927083333333,138.833333333333,0.622035526990773,0.622035526990773,0.622035526990773,64,"4",1,10,0.5,4,1.5
"105",1,2.59002976190476,72.5208333333333,0.568212230411627,0.568212230411627,0.568212230411627,28,"5",1,10,0.5,4,1.5
"106",2,1.25,5,1,1,1,4,"1",1,10,0.5,4,1.5
"107",2,1.38888888888889,22.2222222222222,0.683772233983162,0.683772233983162,0.683772233983162,16,"2",1,10,0.5,4,1.5
"108",2,1.66913580246914,60.0888888888889,0.633100307147329,0.633100307147329,0.633100307147329,36,"3",1,10,0.5,4,1.5
"109",2,1.98097826086957,126.782608695652,0.615099820540249,0.615099820540249,0.615099820540249,64,"4",1,10,0.5,4,1.5
"110",2,2.38297872340426,66.7234042553192,0.599108137131363,0.599108137131363,0.599108137131363,28,"5",1,10,0.5,4,1.5
"111",3,1.75,7,1,1,1,4,"1",1,10,0.5,4,1.5
"112",3,1.94675925925926,31.1481481481481,0.737387134280555,0.737387134280555,0.737387134280555,16,"2",1,10,0.5,4,1.5
"113",3,1.98360655737705,71.4098360655738,0.72475905871841,0.72475905871841,0.72475905871841,36,"3",1,10,0.5,4,1.5
"114",3,2.15408415841584,137.861386138614,0.62043736141426,0.62043736141426,0.62043736141426,64,"4",1,10,0.5,4,1.5
"115",3,2.41428571428571,67.6,0.519615538584739,0.519615538584739,0.519615538584739,28,"5",1,10,0.5,4,1.5
